Distance_(µm),Gray_Value
1.55506,0.000
1.55655,0.000
1.55804,0.000
1.55952,0.000
1.56101,0.000
1.56250,0.000
1.56399,0.000
1.56548,0.000
1.56696,0.000
1.56845,0.000
1.56994,0.000
1.57143,0.000
1.57292,0.000
1.57440,0.000
1.57589,0.000
1.57738,0.000
1.57887,0.000
1.58036,0.000
1.58185,0.000
1.58333,0.000
1.58482,0.000
1.58631,0.000
1.58780,0.000
1.58929,0.000
1.59077,0.000
1.59226,0.000
1.59375,0.000
1.59524,0.000
1.59673,0.000
1.59821,0.000
1.59970,0.000
1.60119,0.000
1.60268,0.000
1.60417,0.000
1.60565,0.000
1.60714,0.000
1.60863,0.000
1.61012,0.000
1.61161,0.000
1.61310,0.000
1.61458,0.000
1.61607,0.000
1.61756,0.000
1.61905,0.000
1.62054,0.000
1.62202,0.000
1.62351,0.000
1.62500,0.000
1.62649,0.000
1.62798,0.000
1.62946,0.000
1.63095,0.000
1.63244,0.000
1.63393,0.000
1.63542,0.000
1.63690,0.000
1.63839,0.000
1.63988,0.000
1.64137,0.000
1.64286,0.000
1.64435,0.000
1.64583,0.000
1.64732,0.000
1.64881,0.000
1.65030,0.000
1.65179,0.000
1.65327,0.000
1.65476,0.000
1.65625,0.000
1.65774,0.000
1.65923,0.000
1.66071,0.000
1.66220,0.000
1.66369,0.000
1.66518,0.000
1.66667,0.000
1.66815,0.000
1.66964,0.000
1.67113,0.000
1.67262,0.000
1.67411,0.000
1.67560,0.000
1.67708,0.000
1.67857,0.000
1.68006,0.000
1.68155,0.000
1.68304,0.000
1.68452,0.000
1.68601,0.000
1.68750,0.000
1.68899,0.000
1.69048,0.000
1.69196,0.000
1.69345,0.000
1.69494,0.000
1.69643,0.000
1.69792,0.000
1.69940,0.000
1.70089,0.000
1.70238,0.000
1.70387,0.000
1.70536,0.000
1.70685,0.000
1.70833,0.000
1.70982,0.000
1.71131,0.000
1.71280,0.000
1.71429,0.000
1.71577,0.000
1.71726,0.000
1.71875,0.000
1.72024,0.000
1.72173,0.000
1.72321,0.000
1.72470,0.000
1.72619,0.000
1.72768,0.000
1.72917,48.302
1.73065,199.225
1.73214,255.000
1.73363,255.000
1.73512,255.000
1.73661,225.754
1.73810,103.379
1.73958,0.000
1.74107,0.000
1.74256,0.000
1.74405,0.000
1.74554,0.000
1.74702,0.000
1.74851,0.000
1.75000,0.000
1.75149,0.000
1.75298,0.000
1.75446,0.000
1.75595,0.000
1.75744,0.000
1.75893,0.000
1.76042,0.000
1.76190,0.000
1.76339,0.000
1.76488,0.000
1.76637,0.000
1.76786,0.000
1.76935,0.000
1.77083,0.000
1.77232,0.000
1.77381,0.000
1.77530,0.000
1.77679,0.000
1.77827,0.000
1.77976,0.000
1.78125,0.000
1.78274,0.000
1.78423,0.000
1.78571,0.000
1.78720,0.000
1.78869,0.000
1.79018,0.000
1.79167,0.000
1.79315,0.000
1.79464,0.000
1.79613,0.000
1.79762,0.000
1.79911,0.000
1.80060,0.000
1.80208,0.000
1.80357,0.000
1.80506,0.000
1.80655,0.000
1.80804,0.000
1.80952,0.000
1.81101,0.000
1.81250,0.000
1.81399,0.000
1.81548,0.000
1.81696,0.000
1.81845,0.000
1.81994,0.000
1.82143,0.000
1.82292,0.000
1.82440,0.000
1.82589,0.000
1.82738,0.000
1.82887,0.000
1.83036,0.000
1.83185,0.000
1.83333,0.000
1.83482,0.000
1.83631,0.000
1.83780,0.000
1.83929,0.000
1.84077,0.000
1.84226,0.000
1.84375,0.000
1.84524,0.000
1.84673,0.000
1.84821,0.000
1.84970,0.000
1.85119,0.000
1.85268,0.000
1.85417,0.000
1.85565,0.000
1.85714,0.000
1.85863,0.000
1.86012,0.000
1.86161,0.000
1.86310,0.000
1.86458,0.000
1.86607,0.000
1.86756,0.000
1.86905,0.000
1.87054,0.000
1.87202,0.000
1.87351,0.000
1.87500,0.000
1.87649,0.000
1.87798,0.000
1.87946,0.000
1.88095,0.000
1.88244,0.000
1.88393,0.000
1.88542,0.000
1.88690,0.000
1.88839,0.000
1.88988,0.000
1.89137,0.000
1.89286,0.000
1.89435,0.000
1.89583,0.000
1.89732,0.000
1.89881,0.000
1.90030,0.000
1.90179,0.000
1.90327,0.000
1.90476,0.000
1.90625,0.000
1.90774,0.000
1.90923,0.000
1.91071,0.000
1.91220,0.000
1.91369,0.000
1.91518,0.000
1.91667,0.000
1.91815,0.000
1.91964,0.000
1.92113,0.000
1.92262,0.000
1.92411,0.000
1.92560,0.000
1.92708,0.000
1.92857,0.000
1.93006,0.000
1.93155,0.000
1.93304,0.000
1.93452,0.000
1.93601,0.000
1.93750,0.000
1.93899,0.000
1.94048,0.000
1.94196,0.000
1.94345,0.000
1.94494,0.000
1.94643,0.000
1.94792,0.000
1.94940,0.000
1.95089,0.000
1.95238,0.000
1.95387,0.000
1.95536,0.000
1.95685,0.000
1.95833,0.000
1.95982,21.940
1.96131,175.340
1.96280,255.000
1.96429,255.000
1.96577,255.000
1.96726,255.000
1.96875,105.531
1.97024,4.205
1.97173,0.000
1.97321,0.000
1.97470,0.000
1.97619,0.000
1.97768,0.000
1.97917,0.000
1.98065,0.000
1.98214,0.000
1.98363,0.000
1.98512,0.000
1.98661,0.000
1.98810,0.000
1.98958,0.000
1.99107,0.000
1.99256,0.000
1.99405,0.000
1.99554,0.000
1.99702,0.000
1.99851,0.000
2.00000,0.000
2.00149,0.000
2.00298,0.000
2.00446,0.000
2.00595,0.000
2.00744,0.000
2.00893,0.000
2.01042,0.000
2.01190,0.000
2.01339,0.000
2.01488,0.000
2.01637,0.000
2.01786,0.000
2.01935,0.000
2.02083,0.000
2.02232,0.000
2.02381,0.000
2.02530,0.000
2.02679,0.000
2.02827,0.000
2.02976,0.000
2.03125,0.000
2.03274,0.000
2.03423,0.000
2.03571,0.000
2.03720,0.000
2.03869,0.000
2.04018,0.000
2.04167,0.000
2.04315,0.000
2.04464,0.000
2.04613,0.000
2.04762,0.000
2.04911,0.000
2.05060,0.000
2.05208,0.000
2.05357,0.000
2.05506,0.000
2.05655,0.000
2.05804,0.000
2.05952,0.000
2.06101,0.000
2.06250,0.000
2.06399,0.000
2.06548,0.000
2.06696,0.000
2.06845,0.000
2.06994,0.000
2.07143,0.000
2.07292,0.000
2.07440,0.000
2.07589,0.000
2.07738,0.000
2.07887,0.000
2.08036,0.000
2.08185,0.000
2.08333,0.000
2.08482,0.000
2.08631,0.000
2.08780,0.000
2.08929,0.000
2.09077,0.000
2.09226,0.000
2.09375,0.000
2.09524,0.000
2.09673,0.000
2.09821,0.000
2.09970,0.000
2.10119,0.000
2.10268,0.000
2.10417,0.000
2.10565,0.000
2.10714,0.000
2.10863,0.000
2.11012,0.000
2.11161,0.000
2.11310,0.000
2.11458,0.000
2.11607,0.000
2.11756,0.000
2.11905,0.000
2.12054,0.000
2.12202,0.000
2.12351,0.000
2.12500,0.000
2.12649,0.000
2.12798,0.000
2.12946,0.000
2.13095,0.000
2.13244,0.000
2.13393,0.000
2.13542,0.000
2.13690,0.000
2.13839,0.000
2.13988,0.000
2.14137,0.000
2.14286,0.000
2.14435,0.000
2.14583,0.000
2.14732,0.000
2.14881,0.000
2.15030,0.000
2.15179,0.000
2.15327,0.000
2.15476,0.000
2.15625,0.000
2.15774,0.000
2.15923,0.000
2.16071,0.000
2.16220,0.000
2.16369,0.000
2.16518,0.000
2.16667,0.000
2.16815,0.000
2.16964,0.000
2.17113,0.000
2.17262,0.000
2.17411,0.000
2.17560,0.000
2.17708,0.000
2.17857,0.000
2.18006,0.000
2.18155,0.000
2.18304,0.000
2.18452,0.000
2.18601,0.000
2.18750,0.000
2.18899,0.000
2.19048,0.000
2.19196,0.000
2.19345,0.000
2.19494,0.000
2.19643,0.000
2.19792,0.000
2.19940,0.000
2.20089,0.000
2.20238,0.000
2.20387,0.000
2.20536,0.000
2.20685,0.000
2.20833,0.000
2.20982,0.000
2.21131,0.000
2.21280,0.000
2.21429,0.000
2.21577,0.000
2.21726,0.000
2.21875,0.000
2.22024,0.000
2.22173,0.000
2.22321,0.000
2.22470,0.000
2.22619,0.000
2.22768,0.000
2.22917,0.000
2.23065,0.000
2.23214,0.000
2.23363,0.000
2.23512,0.000
2.23661,0.000
2.23810,0.000
2.23958,0.000
2.24107,0.000
2.24256,0.000
2.24405,0.000
2.24554,0.000
2.24702,0.000
2.24851,0.000
2.25000,0.000
2.25149,0.000
2.25298,93.089
2.25446,231.626
2.25595,255.000
2.25744,255.000
2.25893,255.000
2.26042,200.642
2.26190,34.419
2.26339,0.000
2.26488,0.000
2.26637,0.000
2.26786,0.000
2.26935,0.000
2.27083,0.000
2.27232,0.000
2.27381,0.000
2.27530,0.000
2.27679,0.000
2.27827,0.000
2.27976,0.000
2.28125,0.000
2.28274,0.000
2.28423,0.000
2.28571,0.000
2.28720,0.000
2.28869,0.000
2.29018,0.000
2.29167,0.000
2.29315,0.000
2.29464,0.000
2.29613,0.000
2.29762,0.000
2.29911,0.000
2.30060,0.000
2.30208,0.000
